"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1887","Assert Dropdown","chromium","2026-01-20","passed","2026-01-20","Jan1 Test suite","Jan1-practice.spec.ts","",""
"","941","Dropdown","chromium","2026-01-20","passed","2026-01-20","Jan12 Test suite","Jan12-practice.spec.ts","",""
"","957","Dropdown","chromium","2026-01-20","passed","2026-01-20","Jan20 Test suite","Jan20-practice.spec.ts","",""
"","1547","Download","chromium","2026-01-20","passed","2026-01-20","Jan2 Test suite","Jan2-practice.spec.ts","",""
"","756","API","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","2244","Js executor","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","2510","Simple Alert","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","1003","Get Tabledata","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","847","Download-Upload","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","2066","Network Intercept-fullfill","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","3072","Download-Upload","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","1754","Data driven","chromium","2026-01-20","passed","2026-01-20","Jan1 Test suite","Jan1-practice.spec.ts","",""
"","11949","Get Flipkart data","chromium","2026-01-20","passed","2026-01-20","Jan5 Test suite","jan5-practice.spec.ts","",""
"","2521","Scroll","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","0","check broken links","chromium","2026-01-20","skipped","2026-01-20","Jan6 Test suite","jan6-practice.spec.ts","",""
"","905","Dropdown","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","3884","Window handle","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","644","Get ecom data","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
"","9726","Check broken link","chromium","2026-01-20","passed","2026-01-20","Jan6 Test suite","jan6-practice.spec.ts","",""
"","1960","Network Intercept-continue","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","1907","Prompt Alert","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","2327","Confirm Alert","chromium","2026-01-20","passed","2026-01-20","Jan8 Test suite","Jan8-practice.spec.ts","",""
"","803","Alert","chromium","2026-01-20","passed","2026-01-20","Jan7 Test suite","Jan7-practice.spec.ts","",""
