"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1919","table","chromium","Wed Jul 30 12:52:12 UTC 2025","passed","Wed Jul 30 12:52:14 UTC 2025","","table.spec.ts","",""
"","989","Validate country dropdown","chromium","Wed Jul 30 12:52:12 UTC 2025","passed","Wed Jul 30 12:52:13 UTC 2025","","verifyDropdown.spec.ts","",""
"","1426","Keyboard","chromium","Wed Jul 30 12:52:09 UTC 2025","passed","Wed Jul 30 12:52:11 UTC 2025","","keyboard.spec.ts","",""
"","4754","Drag and drop","chromium","Wed Jul 30 12:52:03 UTC 2025","passed","Wed Jul 30 12:52:08 UTC 2025","","drag.spec.ts","",""
"","1677","POM check","chromium","Wed Jul 30 12:52:11 UTC 2025","passed","Wed Jul 30 12:52:12 UTC 2025","","pom.spec.ts","",""
"","1","table scroll","chromium","Wed Jul 30 12:52:12 UTC 2025","skipped","Wed Jul 30 12:52:12 UTC 2025","","tablescroll.spec.ts","",""
"","63","Get user","chromium","Wed Jul 30 12:52:03 UTC 2025","passed","Wed Jul 30 12:52:03 UTC 2025","API suite","api.spec.ts","",""
"","2418","New Tab","chromium","Wed Jul 30 12:52:09 UTC 2025","passed","Wed Jul 30 12:52:12 UTC 2025","","newTab.spec.ts","",""
"","1631","Upload","chromium","Wed Jul 30 12:52:08 UTC 2025","passed","Wed Jul 30 12:52:09 UTC 2025","Test suite","file.spec.ts","",""
"","1","Visual","chromium","Wed Jul 30 12:52:09 UTC 2025","skipped","Wed Jul 30 12:52:09 UTC 2025","","keyboard.spec.ts","",""
"","1615","Download","chromium","Wed Jul 30 12:52:08 UTC 2025","passed","Wed Jul 30 12:52:09 UTC 2025","Test suite","file.spec.ts","",""
"","263","Login API","chromium","Wed Jul 30 12:52:03 UTC 2025","passed","Wed Jul 30 12:52:03 UTC 2025","API suite","api.spec.ts","",""
"","1","Handle JS alert on blogspot","chromium","Wed Jul 30 12:52:03 UTC 2025","skipped","Wed Jul 30 12:52:03 UTC 2025","","alert.spec.ts","",""
"","4162","Multi dropdown","chromium","Wed Jul 30 12:52:03 UTC 2025","passed","Wed Jul 30 12:52:08 UTC 2025","","dropdown.spec.ts","",""
